id_track,name_track,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode,id_artist,publish_time,viewCount,likeCount,commentCount,followers,genres,name,popularity
37tlZJ3sVB2SxgdzmeT5va,"NO FAR, NO STAR (feat. Song Luân, RHYDER, HURRYKNG, Captain, Đỗ Phú Quí & Tage)",5563385,3.38431,244.45969,-4.971,156.029,4,1,1,1W2pigH6UYwuTuFbwoSfVZ,24-06-2024,2913289,16070,5440,247960,['v-pop'],RHYDER,64
4NsioA83xX5bNR4RCR2Qgd,"NGƯỜI TÌNH CỦA NẮNG (feat. Anh Tú, Captain, Hải Đăng Doo, Vũ Thịnh & LyLy)",5292000,0.0,232.63492,-7.33,107.961,4,1,1,0F1rSmrNT6sp3LYohgYKsT,13-08-2024,78198,938,64,22457,[],Hải Đăng Doo,49
4OlF39T8O3SkLDaBQ6u2On,KIM TỰ THÁP (feat. CAPTAIN),6045092,3.91837,269.08444,-6.024,130.055,4,2,1,1pKPrziZw7C4GvOlBIXqP5,02-09-2024,26353,278,0,74305,[],Captain,57
6MgCMS8q3NA89TnVuPLvIN,Baby Gọi Cho Anh (feat. CAPTAIN & UMIE),3930466,7.66839,171.8741,-8.069,103.057,4,1,0,1pKPrziZw7C4GvOlBIXqP5,03-10-2023,703091,1681,0,74305,[],Captain,57
3VpQYlxX46P0yZ2D4xLk8A,Quên Dần Quên,5791546,0.11642,255.26857,-9.853,141.327,4,6,0,1pKPrziZw7C4GvOlBIXqP5,11-01-2024,2678774,46273,1639,74305,[],Captain,57
1HHRrg4P3LlJbXwS9tWzm0,Mong Em Sẽ Cố Quên,4771674,0.7663,213.14177,-8.227,81.959,4,0,1,1pKPrziZw7C4GvOlBIXqP5,21-03-2024,2679404,41411,1723,74305,[],Captain,57
5pvVt1ak0vsGRE0Hl4kudu,Louca Encubada,2628826,0.0,110.10902,-3.715,130.068,4,6,1,6U0dJxYVB41L8WDZ02Nwuk,20-10-2023,42744011,562008,9389,115152,['remix brasileiro'],Dj Samir,66
2IUgm8ljwEqVrHdvjjBT6g,EL ACABADO FUNK,2065809,0.12789,88.6712,-0.884,109.946,4,11,0,0ngIeXf9eyYCjC1Nen0ux8,29-08-2024,2389799,43256,2134,18225,['gym phonk'],Rodricci,66
1V5Fk5jlPgVLNG07D1onMI,LIGHTWEIGHT FUNK,2076092,0.0,85.95447,-3.885,130.102,4,6,0,0ngIeXf9eyYCjC1Nen0ux8,21-06-2024,576657,4769,43,18225,['gym phonk'],Rodricci,66
7AyHyLFWS6ikrooAvYxLMO,TOMA ESFREGA,1850610,0.0,80.31782,-1.241,129.77,4,0,1,0ngIeXf9eyYCjC1Nen0ux8,05-11-2023,812877,15029,91,18225,['gym phonk'],Rodricci,66
0ir14ZEf0CWhd6V1Ee73Cm,Sequencia mobilizadora,1419575,0.0,59.51274,-7.423,130.109,3,10,0,0ngIeXf9eyYCjC1Nen0ux8,25-09-2024,67570,1878,64,18225,['gym phonk'],Rodricci,66
0qSyseA0ZtGLcD6mfaoXnR,EL ACABADO FUNK - Slowed,2694446,0.17433,118.53206,-4.004,82.39,4,9,1,0ngIeXf9eyYCjC1Nen0ux8,31-08-2024,502313,7718,255,18225,['gym phonk'],Rodricci,66
3Kg9dDJzhJMmjaL2mqyd4f,So Toca Toca,3175624,0.0,135.80771,-2.082,130.092,4,1,1,0ngIeXf9eyYCjC1Nen0ux8,09-08-2024,99813,2334,83,18225,['gym phonk'],Rodricci,66
4jhNpcKASdXyV1p1vdXDzz,SE TU QUER - Slowed,2643736,2.00272,110.82884,-0.458,109.4,4,5,1,0ngIeXf9eyYCjC1Nen0ux8,05-07-2024,250312,4023,55,18225,['gym phonk'],Rodricci,66
0rEraapXDwqcQnQ1cZVa8i,Louca Encubada - Slowed,3517399,0.0,154.32562,-4.366,92.903,4,10,0,0ngIeXf9eyYCjC1Nen0ux8,09-02-2024,430360,7718,170,18225,['gym phonk'],Rodricci,66
14E117Ikw43Vljys3fAsNU,Respeito,2560026,0.0,103.9151,-3.983,130.115,4,11,1,6zFMFB1JvNHkHvCSudF4id,04-05-2024,144238,3415,88,198075,['phonk brasileiro'],S3BZS,66
1Q68oodivzKjIDnPTXFy83,Memory Reboot,4617630,0.0,199.11691,-6.341,81.377,4,8,1,3QZtwiUoyaXbl1JssMPIQ7,17-01-2023,102711557,1363519,41469,87055,[],Narvent,66
7Ev52ukrs7XGyY6q6U3JUJ,Memory Reboot - Slowed,5210584,0.0,225.48317,-6.413,144.182,4,6,1,3QZtwiUoyaXbl1JssMPIQ7,21-01-2023,35100578,393256,10774,87055,[],Narvent,66
