id_track,name_track,duration_ms,explicit,name,id_artist,release_date,popularity,followers,streams,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode
2Heqj9jtxarmecKxycGSWn,هيجيلي موجوع,210714,False,Tamer Ashour,5rCq30EbJ3DfZPKybGZj8F,2024-01-11,64,4503381,2603632,4646250,0.27814,204.12662,-6.85,167.826,4,1,0
53A95mGzwiRKw61TOI7VEW,كل وعد,208846,False,Wael Jassar,5HczG7gdd89oDKY0CUyPof,2024-02-12,60,3275727,373927,4605058,0.65542,198.64671,-5.164,91.003,4,11,0
0KT1DHLTofoTRy1WTlco3r,No lo sé,165813,True,Lacrim,7DUTsWY3RBd64vh8UtgtYA,2024-06-14,72,2585665,3983686,3656184,0.40658,159.58495,-7.083,125.048,4,4,0
1qGEGcxFCJ0LhBCBSeZmqO,هو انت مين,281052,False,Angham,0IiR4LJwslf6HBSdk9W3Dg,2024-07-28,59,2515371,918413,6197211,3.48299,268.93933,-6.038,76.054,4,7,0
3MzJ2M9PzfCtaGMHAirjIM,عم المجال,220434,False,Mahmoud El Leithy,2iToE4LH0W9zs4hVw3A7m6,2024-03-08,57,1353463,329295,4860587,1.38272,213.2869,-4.095,92.013,4,6,1
4mFb5fW3T7DWPSTTb85Y30,بيكلموني,316250,False,Ramy Gamal,5miyPYjh5EcpOSqloDJPID,2024-04-24,58,1953006,1125377,6973312,1.24222,306.11447,-6.067,96.006,4,0,1
2HfjQWIHWBmEp2LocJsp11,HWASI,223278,False,Lbenj,1H0D7p5aN8tGG8DPLt0Nbv,2024-04-09,53,769743,1485955,4923294,0.45828,219.28925,-8.972,91.475,3,5,0
4p7xoPQH7WpffmIEm5artb,Corazon,188370,True,ElGrandeToto,4BFLElxtBEdsdwGA1kHTsx,2024-02-21,70,2951342,322943,4153576,0.44726,182.07927,-9.889,178.003,4,0,1
3VoiH20aQU7IbbgVidWE5P,Carrousel,156893,False,Saad Lamjarred,0NjXtqYWpnV055KhfZgtuY,2024-04-19,59,2172919,763039,3459498,0.0,150.12862,-5.666,90.009,3,11,0
1uc8UiwbolVfcQbJncV2oL,CABARET,197053,False,Manal,7yK3vix9XmeNwPDmjGs78F,2024-09-20,56,515429,548868,4345026,0.20308,190.43846,-6.035,149.902,3,4,0
1PlZpPgiBtPlB7uCAYa3ov,Bla Bla,181714,False,Nouamane Belaiachi,25eYSizNX4BK5ZtqAq8pE8,2024-06-22,47,352404,572231,4006800,0.24889,179.12454,-9.973,139.933,4,7,1
5mY7KEG5gUYdXBu9ekZIMY,Staline,238561,True,ElGrandeToto,4BFLElxtBEdsdwGA1kHTsx,2024-08-31,70,2951342,288186,5260288,0.12902,233.99908,-19.112,121.278,4,1,1
4AS0ncb4OzzAjwvsgWu9XV,MAHBOULA,169565,False,Manal,7yK3vix9XmeNwPDmjGs78F,2024-05-24,56,515429,790453,3738913,0.0,164.90231,-4.333,183.74,4,1,0
0s6VVcHt9LBdoMhR2itOQ8,Joie de filles (feat. Vacra),138306,True,Lacrim,7DUTsWY3RBd64vh8UtgtYA,2024-06-14,72,2585665,3354996,3049662,0.42322,132.16798,-5.028,93.007,4,5,0
0xhz4gxI1PmdUJunVUV8iv,بين الحيطان,192872,False,Ramy Sabry,5LtHZB7vU02HtNoOzNcVhc,2024-01-07,62,2795692,396161,4252847,2.15365,186.57234,-7.772,154.039,4,3,0
1svrReBKFrNhVMjlT9NOT5,MACHI SAHEL (feat. Tagne),205693,False,Manal,7yK3vix9XmeNwPDmjGs78F,2024-09-20,56,515429,191877,4535538,0.20304,197.64246,-6.836,124.989,4,8,0
0hZaYE3a53y2VbZq85MceM,تيجي نسيب,225226,False,Angham,0IiR4LJwslf6HBSdk9W3Dg,2024-07-28,59,2515371,528205,4966248,3.42494,216.3113,-5.478,172.709,4,7,0
2SQF7fpgxcJEFucbJQJxPz,Douwi Douwi,182400,False,7liwa,7fmcLXdUj5tVr806b7Uzt3,2024-06-23,52,639209,944901,4021920,0.0,170.28354,-7.936,100.09,4,8,0
1cWINvhvBXtDhK8GpK0gZn,AGHARAS,207761,False,Lbenj,1H0D7p5aN8tGG8DPLt0Nbv,2024-09-20,53,769743,217692,4581134,2.10141,201.33443,-6.591,133.961,4,5,0
